,wikidata_uri,company name,description,country,instance of,inception,official website,industry,founded by
58,http://www.wikidata.org/entity/Q1333395,Els Quatre Gats,restaurant,Spain,['brewery' 'restaurant'],1897-06-12,https://4gats.com/,['brewing'],Pere Romeu i Borràs
59,http://www.wikidata.org/entity/Q1152847,Lloyds Bank,British retail and commercial bank,United Kingdom,['bank' 'financial institution' 'business' 'enterprise'],1995-01-01,https://lloydsbank.com/,['financial services' 'financial sector' 'economics of banking'],John Taylor
60,http://www.wikidata.org/entity/Q1073327,China Merchants Bank,company,People's Republic of China,['bank' 'public company' 'enterprise' 'business'],1987-04-08,https://www.cmbchina.com,['bank'],Yuan Geng
61,http://www.wikidata.org/entity/Q909613,İşbank,Turkish private sector bank,Turkey,['financial institution' 'bank' 'public company' 'business' 'enterprise'],1924-01-01,http://www.isbank.com.tr,"['financial services' 'financial sector'
 'financial service activities, except insurance and pension funding']",Mustafa Kemal Atatürk
62,http://www.wikidata.org/entity/Q1026044,Caixa Geral de Depósitos,Portuguese government-owned financial institution,Portugal,['state-owned enterprise' 'bank' 'financial institution'],1876-01-01,https://www.cgd.pt,"['financial sector' 'financial services'
 'financial service activities, except insurance and pension funding'
 'economics of banking']",Luís I of Portugal
63,http://www.wikidata.org/entity/Q1048204,Cassa Depositi e Prestiti,Italian financial institution,Italy,['bank' 'enterprise' 'business'],1850-11-18,https://www.cdp.it/,['financial sector'],Kingdom of Sardinia
64,http://www.wikidata.org/entity/Q1114148,Comerica,American financial services company,United States of America,"['public company' 'business' 'credit institution' 'bank'
 'financial institution']",1849-01-01,https://www.comerica.com/,['financial services' 'financial sector' 'economics of banking'],Elon Farnsworth
65,http://www.wikidata.org/entity/Q1325291,Saxo Bank A/S,Systematic internaliser for bonds,Denmark,['credit institution' 'bank' 'enterprise' 'systematic internaliser'],1992-01-01,https://www.home.saxo/,['financial services'],Kim Fournais
66,http://www.wikidata.org/entity/Q1518238,The Saudi National Bank,Saudi Arabian bank,Saudi Arabia,['bank' 'public company' 'business'],1953-01-01,https://www.alahli.com,['financial services'],Salim Ahmed Bin Mahfouz
67,http://www.wikidata.org/entity/Q1541079,Komerční banka,banking company located in the Czech Republic,Czech Republic,['credit institution' 'bank' 'business' 'investment firm' 'enterprise'],1992-01-01,https://www.kb.cz/,['financial services' 'financial sector' 'economics of banking'],National Property Fund
68,http://www.wikidata.org/entity/Q1416237,QNB,Turkish bank,Turkey,['bank' 'financial institution' 'business'],1987-10-26,https://www.qnb.com.tr,['financial sector' 'financial services' 'economics of banking'],Hüsnü Özyeğin
69,http://www.wikidata.org/entity/Q1364018,Maybank,Malaysian universal bank,Malaysia,['credit institution' 'business' 'bank' 'enterprise'],1960-05-31,http://www.maybank.com,['financial services' 'financial sector'],Khoo Teck Puat
70,http://www.wikidata.org/entity/Q1360087,Laurentian Bank of Canada,bank in the Canadian province of Quebec,Canada,['credit institution' 'bank' 'public company' 'business'],1846-01-01,https://www.banquelaurentienne.ca,['financial services' 'economics of banking'],Ignace Bourget
71,http://www.wikidata.org/entity/Q1442804,MUFG Union Bank,American full-service banking group,United States of America,['bank' 'financial institution' 'business'],1864-01-01,https://www.unionbank.com/,['financial sector' 'banking' 'financial services'],Kaspare Cohn
72,http://www.wikidata.org/entity/Q1422061,Labatt Brewing Company,Belgian-owned brewery in Canada,Canada,['brewery' 'business'],1847-01-01,http://www.labatt.ca/,['beverage industry'],John Kinder Labatt
73,http://www.wikidata.org/entity/Q1575470,Hang Seng Bank,bank,People's Republic of China,['bank' 'public company' 'business' 'enterprise'],1933-01-01,https://www.hangseng.com,['financial services'],Lam Bing Yim
74,http://www.wikidata.org/entity/Q1515015,Privat Bank,the largest commercial bank in Ukraine,Ukraine,['state-owned enterprise' 'bank' 'business'],1992-03-19,https://www.privatbank.ua/,['bank'],Ihor Kolomoyskyi
75,http://www.wikidata.org/entity/Q1587723,Hartwall,Finnish beverage company,Finland,['brewery' 'business'],1836-02-02,https://www.hartwall.fi/,['beverage industry'],Victor Hartwall
76,http://www.wikidata.org/entity/Q1576610,Standard Bank,one of South Africa's largest financial services groups,South Africa,['public company' 'bank' 'enterprise' 'business'],1862-01-01,http://www.standardbank.com/,['other credit granting' 'insurance' 'financial services' 'bank'],John Paterson
77,http://www.wikidata.org/entity/Q1637028,Mythos Beer,makers of Mythos beer,Greece,['trademark' 'brewery'],1968-11-05,https://mythosbeer.gr,['brewing'],Henninger Brewery
78,http://www.wikidata.org/entity/Q1748810,Macks Ølbryggeri,Norwegian brewery,Norway,['brewery'],1877-01-01,http://www.mack.no,['brewing'],Ludwig Markus Mack
79,http://www.wikidata.org/entity/Q1795931,König Brauerei,"brewery situated in Beeck, a neighborhood of Duisburg, Germany",Germany,['brewery' 'business'],1858-01-01,http://www.koenig.de/,['food and tobacco industry' 'Manufacture of beer' 'brewing'],Theodor König
80,http://www.wikidata.org/entity/Q3285345,Manchester Literary and Philosophical Society,"British learned society, charity and company in Manchester, United Kingdom",United Kingdom,['charitable organization' 'limited company' 'learned society'],1781-02-28,http://www.manlitphil.ac.uk,['higher education'],James Massey
81,http://www.wikidata.org/entity/Q3347484,"O3b Networks, Ltd.",network service provider,Netherlands,['limited company' 'business'],2007-01-01,http://www.o3bnetworks.com,['telecommunication'],Greg Wyler
82,http://www.wikidata.org/entity/Q107148047,ISMS.online,Cloud SaaS Information Security Management System,United Kingdom,['limited company' 'enterprise' 'business'],2003-10-06,https://www.isms.online/,['software as a service'],Mark Darby
83,http://www.wikidata.org/entity/Q1970693,Mikkeller,Danish microbrewery,Denmark,['microbrewery' 'brewery'],2006-01-01,http://www.mikkeller.dk,['brewing'],Mikkel Borg Bjergsø
84,http://www.wikidata.org/entity/Q1816028,National Bank of Greece,Global Greek banking and financial services company,Greece,['business' 'public company' 'bank'],1841-01-01,https://www.nbg.gr/,['financial sector' 'financial services'],Jean-Gabriel Eynard
85,http://www.wikidata.org/entity/Q2003611,Indian Overseas Bank,public sector bank in India,India,['business' 'financial services' 'bank'],1937-02-10,https://www.iob.in,['financial sector' 'financial services' 'economics of banking'],M. Ct. M. Chidambaram Chettyar
86,http://www.wikidata.org/entity/Q2003797,Bank of Baroda,Indian multinational banking company,India,['bank' 'public company' 'financial institution' 'business'],1908-01-01,https://www.bankofbaroda.in/,['financial sector' 'financial services'],Sayajirao Gaekwad III
87,http://www.wikidata.org/entity/Q1925799,Metropolitan Bank and Trust Company,bank in the Philippines,Philippines,"['credit institution' 'bank' 'financial institution' 'enterprise'
 'public company' 'business']",1962-01-01,https://www.metrobank.com.ph,['financial services' 'financial sector' 'economics of banking'],George Ty
88,http://www.wikidata.org/entity/Q2003387,Corporation Bank,Indian public-sector banking company,India,['bank' 'financial institution' 'business'],1906-03-12,http://www.corpbank.com/,['financial sector' 'financial services' 'economics of banking'],Haji Abdullah
